Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
72.100000,35.400000,2022-02,trawlers,7,22.33
72.100000,35.600000,2022-02,trawlers,3,5.02
72.100000,35.200000,2022-02,trawlers,6,9.57
72.000000,35.300000,2022-02,trawlers,9,18.87
72.000000,35.400000,2022-02,trawlers,8,25.08
72.000000,35.500000,2022-02,trawlers,11,39.09
72.000000,35.200000,2022-02,trawlers,6,10.16
72.000000,35.700000,2022-02,trawlers,6,22.04
72.000000,35.800000,2022-02,trawlers,5,13.28
72.100000,35.900000,2022-02,trawlers,3,4.84
72.000000,36.000000,2022-02,trawlers,2,2.69
71.900000,34.400000,2022-02,fishing,1,1.03
71.800000,34.300000,2022-02,trawlers,8,32.18
71.800000,34.400000,2022-02,trawlers,9,16.05
71.800000,34.300000,2022-02,fishing,1,0.98
71.900000,34.500000,2022-02,trawlers,6,18.26
71.800000,34.600000,2022-02,trawlers,5,12.35
71.800000,35.000000,2022-02,trawlers,3,3.96
71.800000,35.100000,2022-02,trawlers,4,16.35
71.600000,34.100000,2022-02,trawlers,13,43.95
71.700000,34.300000,2022-02,trawlers,6,19.40
71.700000,34.300000,2022-02,fishing,1,1.06
71.600000,34.200000,2022-02,trawlers,5,16.01
71.600000,34.000000,2022-02,trawlers,8,29.81
71.600000,33.900000,2022-02,trawlers,1,1.13
71.500000,34.000000,2022-02,fishing,1,0.99
71.600000,34.300000,2022-02,trawlers,6,8.41
71.600000,34.400000,2022-02,trawlers,7,16.39
71.500000,34.100000,2022-02,trawlers,6,12.73
71.500000,34.300000,2022-02,trawlers,2,2.96
71.700000,34.500000,2022-02,trawlers,9,25.12
71.700000,34.600000,2022-02,trawlers,10,26.21
71.700000,34.700000,2022-02,trawlers,7,14.49
71.700000,34.900000,2022-02,trawlers,6,13.90
71.700000,35.000000,2022-02,trawlers,8,12.60
71.600000,34.800000,2022-02,fishing,1,4.81
71.600000,34.800000,2022-02,trawlers,16,85.51
71.500000,34.600000,2022-02,set_longlines,1,4.73
71.600000,34.700000,2022-02,trawlers,14,35.58
71.500000,34.700000,2022-02,trawlers,10,29.24
71.500000,34.800000,2022-02,trawlers,11,45.64
71.600000,34.900000,2022-02,trawlers,18,81.35
71.600000,34.900000,2022-02,fishing,1,2.12
71.600000,35.100000,2022-02,trawlers,15,48.14
71.500000,34.900000,2022-02,trawlers,15,41.97
71.500000,35.100000,2022-02,trawlers,15,65.65
71.900000,35.300000,2022-02,trawlers,6,10.36
71.900000,35.600000,2022-02,trawlers,9,19.53
71.800000,35.200000,2022-02,trawlers,3,4.57
71.800000,35.600000,2022-02,trawlers,4,10.09
71.800000,35.800000,2022-02,trawlers,2,5.14
71.800000,36.100000,2022-02,trawlers,1,0.36
71.800000,36.400000,2022-02,trawlers,1,1.00
71.700000,35.200000,2022-02,trawlers,5,17.19
71.600000,35.300000,2022-02,trawlers,12,30.41
71.600000,35.400000,2022-02,trawlers,12,21.10
71.700000,35.700000,2022-02,trawlers,4,9.92
71.600000,35.700000,2022-02,trawlers,1,1.80
71.600000,35.200000,2022-02,trawlers,10,25.56
71.500000,35.300000,2022-02,trawlers,9,27.82
71.500000,35.500000,2022-02,trawlers,5,49.17
71.600000,35.500000,2022-02,trawlers,10,16.75
71.600000,35.600000,2022-02,trawlers,3,2.17
71.500000,35.700000,2022-02,trawlers,3,17.98
71.700000,36.100000,2022-02,trawlers,2,1.95
71.500000,36.500000,2022-02,trawlers,2,6.55
72.200000,38.300000,2022-02,trawlers,1,2.07
72.100000,38.300000,2022-02,trawlers,1,0.55
71.600000,38.800000,2022-02,trawlers,1,0.99
71.500000,33.800000,2022-02,trawlers,2,2.12
71.400000,33.900000,2022-02,trawlers,2,3.43
71.400000,34.000000,2022-02,set_longlines,1,6.41
71.500000,34.400000,2022-02,trawlers,5,4.82
71.400000,34.200000,2022-02,trawlers,4,6.93
71.400000,34.200000,2022-02,set_longlines,1,0.89
71.300000,34.100000,2022-02,trawlers,1,3.00
71.500000,34.500000,2022-02,trawlers,6,7.90
71.500000,35.000000,2022-02,trawlers,17,74.93
71.500000,35.100000,2022-02,fishing,2,6.95
71.400000,35.100000,2022-02,trawlers,12,25.15
71.500000,35.200000,2022-02,trawlers,14,40.47
71.400000,34.500000,2022-02,trawlers,4,5.26
71.400000,34.600000,2022-02,trawlers,6,10.25
71.400000,34.800000,2022-02,trawlers,15,21.86
71.300000,34.600000,2022-02,trawlers,3,4.65
71.300000,34.800000,2022-02,trawlers,12,30.95
71.300000,34.700000,2022-02,trawlers,11,20.00
71.400000,34.900000,2022-02,trawlers,13,17.15
71.300000,34.800000,2022-02,fishing,1,0.65
71.300000,34.900000,2022-02,trawlers,13,40.39
71.300000,35.000000,2022-02,trawlers,15,56.20
71.300000,35.100000,2022-02,fishing,1,1.00
71.300000,35.100000,2022-02,trawlers,16,84.45
71.300000,33.900000,2022-02,trawlers,1,0.94
71.100000,34.400000,2022-02,trawlers,2,1.94
71.200000,34.700000,2022-02,trawlers,2,1.57
71.200000,34.800000,2022-02,trawlers,3,5.28
71.200000,34.900000,2022-02,trawlers,7,9.59
71.300000,35.200000,2022-02,trawlers,21,81.17
71.200000,35.100000,2022-02,trawlers,9,37.29
71.200000,35.000000,2022-02,trawlers,6,23.14
71.100000,34.600000,2022-02,trawlers,2,3.69
71.100000,34.500000,2022-02,trawlers,1,2.44
71.100000,34.800000,2022-02,trawlers,1,2.97
71.100000,34.900000,2022-02,trawlers,10,26.82
71.100000,35.100000,2022-02,trawlers,5,19.87
71.400000,35.200000,2022-02,fishing,2,7.45
71.400000,35.200000,2022-02,trawlers,16,51.37
71.400000,35.400000,2022-02,trawlers,9,20.26
71.500000,35.600000,2022-02,trawlers,3,26.61
71.500000,35.800000,2022-02,trawlers,4,20.96
71.400000,35.500000,2022-02,trawlers,11,20.56
71.400000,35.700000,2022-02,trawlers,3,4.15
71.400000,35.300000,2022-02,trawlers,13,34.26
71.300000,35.300000,2022-02,trawlers,20,84.38
71.300000,35.400000,2022-02,trawlers,24,86.04
71.300000,35.500000,2022-02,fishing,1,6.92
71.400000,35.600000,2022-02,trawlers,10,13.95
71.300000,35.600000,2022-02,trawlers,10,29.40
71.300000,35.700000,2022-02,trawlers,11,28.63
71.300000,35.900000,2022-02,trawlers,15,33.48
71.500000,36.000000,2022-02,trawlers,4,10.05
71.400000,36.000000,2022-02,trawlers,9,20.33
71.400000,36.200000,2022-02,trawlers,4,21.36
71.500000,36.300000,2022-02,trawlers,1,1.08
71.300000,36.000000,2022-02,trawlers,16,28.67
71.300000,36.200000,2022-02,trawlers,22,50.08
71.300000,36.400000,2022-02,trawlers,4,6.73
71.200000,35.400000,2022-02,trawlers,18,42.60
71.200000,35.500000,2022-02,trawlers,21,71.74
71.200000,35.200000,2022-02,trawlers,9,21.95
71.200000,35.300000,2022-02,trawlers,16,28.83
71.300000,35.700000,2022-02,fishing,1,1.95
71.200000,35.800000,2022-02,trawlers,13,25.64
71.200000,35.600000,2022-02,trawlers,21,65.55
71.200000,35.700000,2022-02,trawlers,20,58.95
71.100000,35.400000,2022-02,trawlers,3,5.34
71.100000,35.500000,2022-02,trawlers,3,9.55
71.100000,35.200000,2022-02,trawlers,3,13.72
71.100000,35.600000,2022-02,trawlers,4,9.12
71.100000,35.900000,2022-02,trawlers,2,3.70
71.300000,36.100000,2022-02,trawlers,17,54.10
71.200000,35.900000,2022-02,trawlers,13,30.16
71.200000,36.100000,2022-02,trawlers,7,9.01
71.200000,36.200000,2022-02,trawlers,10,23.23
71.200000,36.400000,2022-02,trawlers,16,63.45
71.200000,36.500000,2022-02,trawlers,12,37.47
71.100000,36.100000,2022-02,fishing,1,1.00
71.100000,36.100000,2022-02,trawlers,8,12.46
71.100000,36.200000,2022-02,trawlers,4,4.97
71.100000,36.500000,2022-02,trawlers,11,25.83
71.200000,36.600000,2022-02,trawlers,16,30.84
71.100000,36.300000,2022-02,trawlers,6,9.00
71.000000,34.500000,2022-02,trawlers,1,0.86
71.000000,34.800000,2022-02,trawlers,2,6.35
71.000000,35.000000,2022-02,trawlers,5,7.19
71.000000,35.100000,2022-02,trawlers,2,1.25
70.900000,34.700000,2022-02,trawlers,3,1.98
70.900000,34.800000,2022-02,trawlers,2,1.37
70.600000,34.300000,2022-02,trawlers,1,0.50
70.800000,35.000000,2022-02,trawlers,1,2.17
71.000000,35.400000,2022-02,trawlers,3,12.89
71.000000,35.600000,2022-02,trawlers,1,1.02
71.000000,35.700000,2022-02,trawlers,1,0.98
71.000000,36.000000,2022-02,trawlers,2,1.63
71.000000,36.600000,2022-02,trawlers,3,3.77
70.900000,36.100000,2022-02,trawlers,2,3.82
70.900000,36.300000,2022-02,trawlers,1,0.97
